MATERIAL_NAME,AVG_COST_PER_KG,AVG_COST_PER_KG_USD
MAT-0001,12.03017688641455,1.6721945872116226
MAT-0002,7.449447995419903,1.0354732713633665
MAT-0003,0.8099959721669403,0.11258944013120471
MAT-0004,9.249839837277833,1.285727737381619
MAT-0005,7.12,0.9896800000000001
MAT-0006,5.060086580086581,0.7033520346320348
MAT-0007,2.09010915283587,0.290525172244186
MAT-0008,3.2376,0.45002640000000005
MAT-0009,3.1606873111299008,0.43933553624705624
MAT-0010,6.4084126984126994,0.8907693650793653
MAT-0011,2.310011099754408,0.3210915428658628
MAT-0012,2.2700184704184703,0.3155325673881674
MAT-0013,10.75046254519814,1.4943142937825415
MAT-0014,2.233889003153709,0.3105105714383656
MAT-0015,32.2628453346291,4.484535501513445
MAT-0017,16.348753422219975,2.2724767256885765
MAT-0018,4.56,0.63384
MAT-0019,3.9599999999999995,0.5504399999999999
MAT-0020,7.5898799313893655,1.054993310463122
MAT-0021,3.7400484848484847,0.5198667393939395
MAT-0027,4.56,0.63384
MAT-0032,3.9600000000000004,0.5504400000000002
MAT-0033,0.8699721745903437,0.12092613226805779
MAT-0035,3.96,0.55044
MAT-0036,5.5710091977768625,0.7743702784909839
MAT-0037,2.04,0.28356000000000003
MAT-0038,7.383763614111745,1.0263431423615326
MAT-0040,5.607723905723906,0.7794736228956229
MAT-0042,4.300003015782724,0.5977004191937987
MAT-0045,1.289741792048504,0.17927410909474206
MAT-0046,6.431430862034417,0.893968889822784
MAT-0047,8.530080817083258,1.185681233574573
MAT-0048,0.8909934077379561,0.12384808367557591
MAT-0049,13.630832170369544,1.8946856716813667
MAT-0050,4.073241072026887,0.5661805090117373
MAT-0052,3.3244444444444445,0.46209777777777783
MAT-0053,7.590091598678124,1.0550227322162593
MAT-0054,10.788666981031037,1.4996247103633142
MAT-0055,2.626185739516066,0.3650398177927332
MAT-0056,5.550132037914097,0.7714683532700596
MAT-0057,7.590008270306343,1.0550111495725818
MAT-0058,4.940412930231789,0.6867173973022187
MAT-0059,3.738434163701067,0.5196423487544484
MAT-0060,4.030003894445847,0.5601705413279727
MAT-0061,0.930020202020202,0.12927280808080807
MAT-0064,3.96,0.55044
MAT-0065,2.721646684664875,0.37830888916841765
MAT-0066,6.76,0.93964
MAT-0067,2.230020202020202,0.3099728080808081
MAT-0068,0.3300224466891134,0.045873120089786765
MAT-0069,6.6899814655993906,0.9299074237183154
